RoleClassLibName,Name,Parent,Attributes?,ID,Description,Recommendations,
DriveConfigurationRoleClassLib,ColumnBasedStoredTimeSeriesData,TimeSeriesData,Yes,yes,, -,
DriveConfigurationRoleClassLib,Load,Product,No,yes,, -,
DriveConfigurationRoleClassLib,Solid,Load,Yes,yes,, -,
DriveConfigurationRoleClassLib,Liquid,Load,Yes,yes,, -,
DriveConfigurationRoleClassLib,Air,Load,Yes,yes,, -,
DriveConfigurationRoleClassLib,Guide,Solid,Yes,yes,, -,
DriveConfigurationRoleClassLib,BaseLoad,AutomationMLBaseRole,No,yes,, -,
DriveConfigurationRoleClassLib,AdditionalLoad,AutomationMLBaseRole,No,yes,, - incomplete description,
,,,,,,,
DriveConfigurationExtensionRoleClassLib,VirtualDialGauge,Structure,No,yes,, -,
DriveConfigurationExtensionRoleClassLib,VirtualRotaryDialGauge,VirtualDialGauge,Yes,yes,, -,
DriveConfigurationExtensionRoleClassLib,VirtualLinearDialGauge,VirtualDialGauge,Yes,yes,, -,
DriveConfigurationExtensionRoleClassLib,VirtualElectricalDialGauge,VirtualDialGauge,Yes,yes,, -,
DriveConfigurationExtensionRoleClassLib,HasVirtualDialGauge,AutomationMLBaseRole,No,yes,, - incomplete description,
DriveConfigurationExtensionRoleClassLib,HasVirtualRotaryDialGauge,HasVirtualDialGauge,No,yes,, -,
DriveConfigurationExtensionRoleClassLib,HasVirtualLinearDialGauge,HasVirtualDialGauge,No,yes,, -,
DriveConfigurationExtensionRoleClassLib,HasVirtualElectricalDialGauge,HasVirtualDialGauge,No,yes,, -,
AutomationMLIEC62264RoleClassLib,HierarchyScope,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,PersonnelModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,PersonnelClass,Resource,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,Person,Resource,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,QualificationTestSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,QualificationTestResult,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentClass,Resource,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,Equipment,Resource,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentCapabilityTestSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentCapabilityTestResult,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetClass,Resource,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAsset,Resource,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetCapabilityTestSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetCapabilityTestResult,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentAssetMapping,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialClass,Product,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialDefinition,Product,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialLot,Product,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialSublot,Product,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialTestSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialTestResult,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialAssembly,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,ProcessSegmentModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,ProcessSegment,Process,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,PersonnelSegmentSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentSegmentSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetSegmentSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialSegmentSpecification,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,ProcessSegmentDependency,AutomationMLBaseRole,Yes,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsDefinitionModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsDefinition,ProcessStructure,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsMaterialBill,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsMaterialBilltem,AutomationMLBaseRole,No,no,, - incomplete role class term,
AutomationMLIEC62264RoleClassLib,OperationsSegment,Process,No,no,, -,
AutomationMLIEC62264RoleClassLib,PersonnelSpecification,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentSpecification,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetSpecification,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialSpecification,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsSegmentDependency,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsScheduleModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsSchedule,ProcessStructure,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsRequest,ProcessStructure,No,no,, -,
AutomationMLIEC62264RoleClassLib,SegmentRequirement,Process,No,no,, -,
AutomationMLIEC62264RoleClassLib,PersonnelRequirement,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentRequirement,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetRequirement,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialRequirement,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,RequestedSegmentResponse,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsPerformanceModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsPerformance,ProcessStructure,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsResponse,ProcessStructure,No,no,, -,
AutomationMLIEC62264RoleClassLib,SegmentResponse,Process,No,no,, -,
AutomationMLIEC62264RoleClassLib,PersonnelActual,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentActual,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetActual,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialActual,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsCapabilityModel,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,OperationsCapability,Process,No,no,, -,
AutomationMLIEC62264RoleClassLib,PersonnelCapability,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,EquipmentCapability,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,PhysicalAssetCapability,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,MaterialCapability,AutomationMLBaseRole,No,no,, -,
AutomationMLIEC62264RoleClassLib,ProcessSegmentCapability,Process,No,no,, -,
MaterialHandlingResourceClassLib,Turner,Transport,Yes,no,, -,
MaterialHandlingResourceClassLib,VerticalTurner,Turner,Yes,no,, -,
MaterialHandlingResourceClassLib,LateralTurner,Turner,Yes,no,, -,
MaterialHandlingResourceClassLib,LongitudinalTurner,Turner,Yes,no,, -,
MaterialHandlingResourceClassLib,MaterialHandlingConveyor,Conveyor,Yes,no,, -,
MaterialHandlingResourceClassLib,StraightConveyor,MaterialHandlingConveyor,Yes,no,, -,
MaterialHandlingResourceClassLib,Bevel,StraightConveyor,Yes,no,, -,
MaterialHandlingResourceClassLib,CurvedConveyor,MaterialHandlingConveyor,Yes,no,, -,
MaterialHandlingResourceClassLib,SpiralConveyor,CurvedConveyor,Yes,no,, -,
MaterialHandlingResourceClassLib,VerticalConveyor,MaterialHandlingConveyor,Yes,no,, -,
MaterialHandlingResourceClassLib,Positioner,Transport,Yes,no,, -,
MaterialHandlingResourceClassLib,LinearPositioner,Positioner,Yes,no,, -,
MaterialHandlingResourceClassLib,VerticalPositioner,LinearPositioner,Yes,no,, -,
MaterialHandlingResourceClassLib,LateralPositioner,LinearPositioner,Yes,no,, -,
MaterialHandlingResourceClassLib,LongitudinalPositioner,LinearPositioner,Yes,no,, -,
MaterialHandlingResourceClassLib,ArealPositioner,Positioner,Yes,no,,Needs to be 'Area' instead of 'Areal',
MaterialHandlingResourceClassLib,FreePositioner,Positioner,Yes,no,, -,
MaterialHandlingResourceClassLib,ConveyorTechnology,Resource,No,no,, -,
MaterialHandlingResourceClassLib,BeltCarrier,ConveyorTechnology,No,no,, -,
MaterialHandlingResourceClassLib,ChainCarrier,ConveyorTechnology,No,no,, -,
MaterialHandlingResourceClassLib,SkidCarrier,ConveyorTechnology,No,no,, -,
MaterialHandlingResourceClassLib,RollCarrier,ConveyorTechnology,No,no,, -,
MaterialHandlingResourceClassLib,LinkBeltCarrier,ConveyorTechnology,No,no,, -,
